Binary,Event Type,Event
/Applications/Messages.app/Contents/MacOS/Messages,notify_post,com.apple.imautomatichistorydeletionagent.prefchange
/System/Library/CoreServices/powerd.bundle/powerd,notify_post,com.apple.system.powermanagement.assertuserproximity
/System/Library/CoreServices/powerd.bundle/powerd,notify_post,com.apple.duetknowledge.monitoringStatusChanged
/System/Library/CoreServices/powerd.bundle/powerd,notify_post,com.apple.system.powermanagement.uservisiblepowerevent
/System/Library/CoreServices/powerd.bundle/powerd,notify_post,com.apple.system.powersources.attach
/System/Library/CoreServices/powerd.bundle/powerd,notify_post,com.apple.system.powermanagement.poweradapter
/System/Library/CoreServices/powerd.bundle/powerd,notify_post,com.apple.system.powersources.timeremaining
/System/Library/CoreServices/powerd.bundle/powerd,notify_post,com.apple.system.powermanagement.useractivity
/System/Library/CoreServices/powerd.bundle/powerd,notify_post,com.apple.system.powermanagement.assertionresync
/System/Library/CoreServices/powerd.bundle/powerd,notify_post,com.apple.system.powermanagement.SystemLoadAdvisory
/System/Library/CoreServices/powerd.bundle/powerd,notify_post,com.apple.system.powermanagement.useractivity2
/System/Library/CoreServices/powerd.bundle/powerd,notify_post,com.apple.system.powermanagement.prefschange
/System/Library/CoreServices/powerd.bundle/powerd,notify_post,com.apple.system.power.performance_warning
/System/Library/CoreServices/powerd.bundle/powerd,notify_post,com.apple.system.powersources.percent
/System/Library/CoreServices/powerd.bundle/powerd,notify_register_check,com.apple.powermanagement.lastwaketime
/System/Library/CoreServices/powerd.bundle/powerd,notify_register_check,com.apple.powermanagement.lastwaketimesmcdata
/System/Library/PrivateFrameworks/CoreParsec.framework/parsecd,,??
/System/Library/PrivateFrameworks/CacheDelete.framework/deleted,notify_post,CACHE_DELETE_PURGE_BEGIN
/System/Library/PrivateFrameworks/CacheDelete.framework/deleted,notify_post,CACHE_DELETE_HIGH_PRIORITY_PURGE_FAILED
/System/Library/PrivateFrameworks/CacheDelete.framework/deleted,notify_post,CACHE_DELETE_PURGE_SUCCEEDED
/System/Library/PrivateFrameworks/CacheDelete.framework/deleted,notify_post,CACHE_DELETE_PURGEABLE_UPDATED
/System/Library/PrivateFrameworks/CacheDelete.framework/deleted,notify_post,com.apple.cache_delete.launched
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_post,com.apple.corespeech.corespeechd.launch
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_post,com.apple.coreaudio.borealisTrigger
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_post,com.apple.siri.corespeech.selftrigger
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_post,com.apple.voicetrigger.EarlyDetect
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_post,com.apple.voicetrigger.PHSProfileModified
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_post,com.apple.siri.corespeech.voiceprofilelist.change
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_post,com.apple.corespeech.voicetriggerassetchange
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_register_check,com.apple.duetscheduler.restartCheckNotification
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_register_check,com.apple.springboard.finishedstartup
